iter	Passed	Remaining
762	6875	2135
763	6883	2126
764	6892	2117
765	6902	2108
766	6911	2099
767	6921	2090
768	6929	2081
769	6939	2072
770	6947	2063
771	6957	2054
772	6964	2045
773	6974	2036
774	6982	2027
775	6990	2017
776	6999	2008
777	7006	1999
778	7014	1990
779	7022	1980
780	7030	1971
781	7039	1962
782	7046	1952
783	7055	1943
784	7063	1934
785	7071	1925
786	7079	1916
787	7087	1906
788	7095	1897
789	7104	1888
790	7111	1878
791	7120	1870
792	7129	1860
793	7137	1851
794	7147	1843
795	7155	1833
796	7164	1824
797	7172	1815
798	7181	1806
799	7191	1797
800	7200	1788
801	7208	1779
802	7217	1770
803	7225	1761
804	7234	1752
805	7241	1742
806	7250	1733
807	7258	1724
808	7267	1715
809	7277	1707
810	7285	1697
811	7294	1688
812	7302	1679
813	7310	1670
814	7320	1661
815	7330	1653
816	7339	1643
817	7349	1635
818	7358	1626
819	7367	1617
820	7376	1608
821	7385	1599
822	7396	1590
823	7404	1581
824	7413	1572
825	7422	1563
826	7431	1554
827	7439	1545
828	7448	1536
829	7457	1527
830	7466	1518
831	7475	1509
832	7484	1500
833	7493	1491
834	7501	1482
835	7511	1473
836	7520	1464
837	7529	1455
838	7539	1446
839	7548	1437
840	7557	1428
841	7565	1419
842	7575	1410
843	7584	1401
844	7595	1393
845	7605	1384
846	7614	1375
847	7623	1366
848	7631	1357
849	7641	1348
850	7650	1339
851	7659	1330
852	7667	1321
853	7676	1312
854	7685	1303
855	7694	1294
856	7703	1285
857	7711	1276
858	7720	1267
859	7729	1258
860	7739	1249
861	7747	1240
862	7757	1231
863	7765	1222
864	7777	1213
865	7786	1204
866	7795	1195
867	7804	1186
868	7812	1177
869	7823	1168
870	7831	1159
871	7840	1150
872	7851	1142
873	7861	1133
874	7870	1124
875	7878	1115
876	7887	1106
877	7896	1097
878	7905	1088
879	7914	1079
880	7923	1070
881	7931	1061
882	7940	1052
883	7950	1043
884	7958	1034
885	7967	1025
886	7975	1016
887	7985	1007
888	7994	998
889	8003	989
890	8011	980
891	8020	971
892	8029	962
893	8038	953
894	8047	944
895	8056	935
896	8066	926
897	8076	917
898	8084	908
899	8093	899
900	8102	890
901	8111	881
902	8120	872
903	8129	863
904	8137	854
905	8146	845
906	8155	836
907	8165	827
908	8175	818
909	8185	809
910	8194	800
911	8203	791
912	8214	782
913	8222	773
914	8231	764
915	8240	755
916	8250	746
917	8259	737
918	8268	728
919	8278	719
920	8286	710
921	8296	701
922	8304	692
923	8312	683
924	8321	674
925	8331	665
926	8341	656
927	8349	647
928	8360	638
929	8367	629
930	8378	620
931	8387	611
932	8398	603
933	8408	594
934	8416	585
935	8424	576
936	8432	566
937	8440	557
938	8448	548
939	8456	539
940	8463	530
941	8471	521
942	8477	512
943	8485	503
944	8492	494
945	8500	485
946	8507	476
947	8514	467
948	8521	457
949	8528	448
950	8535	439
951	8542	430
952	8550	421
953	8558	412
954	8565	403
955	8572	394
956	8581	385
957	8589	376
958	8595	367
959	8602	358
960	8609	349
961	8616	340
962	8622	331
963	8629	322
964	8636	313
965	8642	304
966	8649	295
967	8656	286
968	8665	277
969	8673	268
970	8681	259
971	8689	250
972	8696	241
973	8704	232
974	8712	223
975	8720	214
976	8730	205
977	8739	196
978	8748	187
979	8756	178
980	8765	169
981	8773	160
982	8782	151
983	8791	142
984	8799	134
985	8807	125
986	8816	116
987	8828	107
988	8836	98
989	8844	89
990	8851	80
991	8858	71
992	8865	62
993	8872	53
994	8879	44
995	8887	35
996	8893	26
997	8900	17
998	8907	8
999	8914	0
